名称,営業日,住所,アクセス
Garden DaDa 大宮駅前店,月～日、祝日、祝前日: 12:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:00）,埼玉県さいたま市大宮区宮町１-48　5Ｆ-A,JR大宮駅東口より徒歩3分！ジェイリートビル5階です！緑の看板が目印！3時間飲み放題付きプラン3000円～
ワイン&肉バル TARUYA たるや 大宮駅前店,月～日、祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,埼玉県さいたま市大宮区桜木町１-2-4 金子ビル3F,大宮駅西口駅前・徒歩1分/大宮で話題の肉×チーズの本格バル！
ミライザカ 大宮東口店,月～木: 16:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）金、土、祝前日: 11:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）日、祝日: 11:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）,埼玉県さいたま市大宮区大門町１-92-1 3F,大宮駅東口 徒歩30秒！ビルの3Fです！
三代目鳥メロ 大宮東口店,月～木、日、祝日: 16:00～翌5:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:30）金、土、祝前日: 16:00～翌3:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:30）,埼玉県さいたま市大宮区大門町１-92-1 2F,大宮駅から徒歩30秒！ビルの2Fです！
甘味処 鎌倉 大宮一の宮通り店,月～日、祝日、祝前日: 10:30～18:30,埼玉県さいたま市大宮区宮町２-5 宮下ビル１F,ＪＲ大宮駅から徒歩4分 ♪/東武野田線（東武アーバンパークライン） 大宮駅から徒歩4分♪
カラオケ ベスト10 大宮店,月～日、祝日、祝前日: 08:00～翌7:00 （料理L.O. 翌6:00 ドリンクL.O. 19:00）,埼玉県さいたま市大宮区仲町１丁目57-2Ｆ,大宮駅東口から看板を目印にお越しください。
cafe&bar LOCKSTOCK,月～日、祝日、祝前日: 12:00～20:00 （料理L.O. 19:00 ドリンクL.O. 19:45）,埼玉県さいたま市大宮区桜木町１-175 KGビル　2F,ＪＲ大宮駅西口より徒歩約5分
個室焼肉酒場 食肉センター 肉道場 大宮別館,月～金: 15:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）土、日、祝日、祝前日: 10:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）,埼玉県さいたま市大宮区仲町１-77-1　2階,JR大宮駅東口　徒歩3分／野田線　大宮駅徒歩3分／伊奈線　大宮駅徒歩3分→大宮駅東口の大宮南銀座通内★大宮　居酒屋 鍋
スペインバル ザイオン Zion 大宮,月、火: 18:00～20:00水～金、祝前日: 11:30～15:0018:00～20:00土、祝日: 11:30～20:00,埼玉県さいたま市大宮区大門町２-111-3,大宮駅東口を出て中央通り(高島屋側)を直進、交差点を渡り右折をして最初の裏路地に入り直進。右手にある5件目のお店。
桃栗 別家 柿八 かきや 大宮店,月～日、祝日、祝前日: 16:00～20:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,埼玉県さいたま市大宮区大門町２-108-4　2F,大宮駅東口徒歩3分。高島屋の前を通り過ぎ、三井住友銀行の脇の細い路地を突き当りまで進んだところの2F。048-782-4439
